Event Name,Category,Properties
Visit Log In,Authentication,None
Visit Sign Up,Authentication,None
Email Added,Authentication,None
Email Deleted,Authentication,None
Email Verification Started,Authentication,email
Email Verified,Authentication,email
Email Verification Failed,Authentication,"email, error"
Workspace Created,Workspace,"workspaceId, name, plan, hasInvites"
Create Workspace Button Clicked,Workspace,location
Workspace General Settings Updated,Workspace,"workspaceId, slug"
Workspace Domain Protection Toggled,Workspace,"workspaceId, enabled"
Workspace Discoverability Toggled,Workspace,"workspaceId, enabled"
Workspace Domain Added,Workspace,"workspaceId, domain"
Workspace User Role Updated,Workspace,"workspaceId, userId, role"
Workspace User Removed,Workspace,"workspaceId, userId"
Workspace User Seat Type Updated,Workspace,"workspaceId, userId, seatType"
Workspace Discovery Banner Dismissed,Workspace,"workspaceId, location, workspace_id"
Workspace Join Request Sent,Workspace,"workspaceId, location"
Workspace Join Request Approved,Workspace,"workspaceId, userId"
Workspace Join Request Denied,Workspace,"workspaceId, userId"
New Workspaces Explainer Banner Viewed,Workspace,location
New Workspaces Explainer Banner CTA Clicked,Workspace,location
Workspace Billing Portal Button Clicked,Billing,workspaceId
Workspace Upgraded,Billing,"workspaceId, plan, billingInterval"
Checkout Session Cancelled,Billing,workspaceId
Workspace Upgrade Cancelled,Billing,"workspaceId, plan, billingInterval"
Workspace Creation Checkout Session Started,Billing,None
Pricing Plan CTA Clicked,Billing,"plan, billingInterval"
Project Moved To Workspace,Project,"projectId, sourceWorkspaceId, targetWorkspaceId"
Move Project CTA Clicked,Project,"projectId, workspaceId"
Workspace SSO Login Attempted,SSO,"workspaceId, provider"
Workspace SSO Session Error Redirected,SSO,"workspaceId, error"
Workspace SSO Provider Removed,SSO,"workspaceId, provider"
Invite Action (Workspace),Invite,"workspaceId, inviteCount, action"
Invite Action (Project),Invite,"workspaceId, projectId, inviteCount, action"
Receive,Viewer,"modelId, versionId, objectCount"
Load Latest Version Button Clicked,Viewer,"modelId, versionId"
Limit Reached Dialog Upgrade Button Clicked,Viewer,"modelId, versionId, objectCount, limit"
Limit Reached Dialog Viewed,Viewer,"modelId, versionId, objectCount, limit"
Gendo Render Triggered,AI,"prompt, modelId, versionId"
Gendo Render Preview Opened,AI,"renderId, modelId, versionId"
Gendo Prompt Reused,AI,"prompt, modelId, versionId"
Gendo Render Feedback Given,AI,"renderId, rating, feedback"
Automate Select Function,Automate,"functionId, name"
Automate Set Function Parameters,Automate,functionId
Automate Set Automation Details,Automate,functionId
Automate Automation Created,Automate,"automationId, functionId"
Automate Function Created,Automate,"functionId, name"
Automate Configure Function Details,Automate,None
Automate Start Authorize GitHub App,Automate,None
Automate Finish Authorize GitHub App,Automate,None
Automate Select Function Template,Automate,None
Automate Beta Visit Redirected,Automate,None
Tutorial clicked,Tutorial,"tutorialId, title"
View All Tutorials Button Clicked,Tutorial,None
Visit [App Name],General,None
